epoch,EG_L1_loss,G_tv_loss,G_img_loss,Ez_loss,D_loss,Dz_loss,D_img,D_z,D_z_prior,D_reconst
0,"tensor(0.1474, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(7.0792, device='cuda:0')","tensor(1.0197, device='cuda:0')","tensor(0.0036, device='cuda:0')","tensor(1.3949, device='cuda:0')","tensor(0.9998, device='cuda:0')","tensor(0.4436, device='cuda:0')","tensor(0.5086, device='cuda:0')","tensor(0.0034, device='cuda:0')"
1,"tensor(0.1221, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(6.6828, device='cuda:0')","tensor(0.8096, device='cuda:0')","tensor(0.0024, device='cuda:0')","tensor(1.2507, device='cuda:0')","tensor(0.9993, device='cuda:0')","tensor(0.4746, device='cuda:0')","tensor(0.5870, device='cuda:0')","tensor(0.0018, device='cuda:0')"
2,"tensor(0.1054, device='cuda:0')","tensor(0.0022, device='cuda:0')","tensor(5.4604, device='cuda:0')","tensor(0.8187, device='cuda:0')","tensor(0.0266, device='cuda:0')","tensor(1.3443, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.4498, device='cuda:0')","tensor(0.4979, device='cuda:0')","tensor(0.0255, device='cuda:0')"
3,"tensor(0.1148, device='cuda:0')","tensor(0.0021, device='cuda:0')","tensor(5.7545, device='cuda:0')","tensor(0.7382, device='cuda:0')","tensor(0.0121, device='cuda:0')","tensor(1.3112, device='cuda:0')","tensor(0.9999, device='cuda:0')","tensor(0.4879, device='cuda:0')","tensor(0.5390, device='cuda:0')","tensor(0.0119, device='cuda:0')"
4,"tensor(0.1087, device='cuda:0')","tensor(0.0033, device='cuda:0')","tensor(8.4992, device='cuda:0')","tensor(1.0161, device='cuda:0')","tensor(0.0124, device='cuda:0')","tensor(1.1076, device='cuda:0')","tensor(0.9924, device='cuda:0')","tensor(0.3813, device='cuda:0')","tensor(0.5527, device='cuda:0')","tensor(0.0047, device='cuda:0')"
5,"tensor(0.1146, device='cuda:0')","tensor(0.0019, device='cuda:0')","tensor(9.8243, device='cuda:0')","tensor(0.6942, device='cuda:0')","tensor(0.0003, device='cuda:0')","tensor(1.4851, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.5050, device='cuda:0')","tensor(0.4817, device='cuda:0')","tensor(0.0003, device='cuda:0')"
6,"tensor(0.1069, device='cuda:0')","tensor(0.0019, device='cuda:0')","tensor(8.0789, device='cuda:0')","tensor(0.8193, device='cuda:0')","tensor(0.0048, device='cuda:0')","tensor(1.1867, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.4619, device='cuda:0')","tensor(0.5815, device='cuda:0')","tensor(0.0048, device='cuda:0')"
7,"tensor(0.1256, device='cuda:0')","tensor(0.0030, device='cuda:0')","tensor(7.9136, device='cuda:0')","tensor(0.6246, device='cuda:0')","tensor(0.0043, device='cuda:0')","tensor(1.6863, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.5429, device='cuda:0')","tensor(0.4238, device='cuda:0')","tensor(0.0043, device='cuda:0')"
8,"tensor(0.1079, device='cuda:0')","tensor(0.0025, device='cuda:0')","tensor(11.9235, device='cuda:0')","tensor(0.7443, device='cuda:0')","tensor(0.0246, device='cuda:0')","tensor(1.1566, device='cuda:0')","tensor(0.9887, device='cuda:0')","tensor(0.4810, device='cuda:0')","tensor(0.6149, device='cuda:0')","tensor(0.0124, device='cuda:0')"
9,"tensor(0.1045, device='cuda:0')","tensor(0.0032, device='cuda:0')","tensor(8.1566, device='cuda:0')","tensor(0.7191, device='cuda:0')","tensor(0.1044, device='cuda:0')","tensor(1.6769, device='cuda:0')","tensor(0.9943, device='cuda:0')","tensor(0.5128, device='cuda:0')","tensor(0.4060, device='cuda:0')","tensor(0.0686, device='cuda:0')"
10,"tensor(0.1108, device='cuda:0')","tensor(0.0030, device='cuda:0')","tensor(19.1966, device='cuda:0')","tensor(0.7058, device='cuda:0')","tensor(0.0108, device='cuda:0')","tensor(1.5250, device='cuda:0')","tensor(0.9904, device='cuda:0')","tensor(0.5203, device='cuda:0')","tensor(0.4906, device='cuda:0')","tensor(0.0008, device='cuda:0')"
11,"tensor(0.1042, device='cuda:0')","tensor(0.0030, device='cuda:0')","tensor(14.3170, device='cuda:0')","tensor(0.7414, device='cuda:0')","tensor(0.0001, device='cuda:0')","tensor(1.4813, device='cuda:0')","tensor(0.9999, device='cuda:0')","tensor(0.4911, device='cuda:0')","tensor(0.4740, device='cuda:0')","tensor(0.0000, device='cuda:0')"
12,"tensor(0.0944, device='cuda:0')","tensor(0.0034, device='cuda:0')","tensor(10.3551, device='cuda:0')","tensor(0.6773, device='cuda:0')","tensor(0.0017, device='cuda:0')","tensor(1.2861, device='cuda:0')","tensor(0.9988, device='cuda:0')","tensor(0.5186, device='cuda:0')","tensor(0.5935, device='cuda:0')","tensor(0.0005, device='cuda:0')"
13,"tensor(0.0839, device='cuda:0')","tensor(0.0026, device='cuda:0')","tensor(16.0568, device='cuda:0')","tensor(0.6567, device='cuda:0')","tensor(0.0052, device='cuda:0')","tensor(1.4655, device='cuda:0')","tensor(0.9949, device='cuda:0')","tensor(0.5338, device='cuda:0')","tensor(0.5424, device='cuda:0')","tensor(9.5235e-06, device='cuda:0')"
14,"tensor(0.1036, device='cuda:0')","tensor(0.0036, device='cuda:0')","tensor(9.1989, device='cuda:0')","tensor(0.8412, device='cuda:0')","tensor(0.4254, device='cuda:0')","tensor(1.2236, device='cuda:0')","tensor(0.9998, device='cuda:0')","tensor(0.4629, device='cuda:0')","tensor(0.6079, device='cuda:0')","tensor(0.1254, device='cuda:0')"
